 % Project name: Seaside data
 % Measurement location: A8
 % time(sec)   H(m)       u(m/s)  M(m^3/s^2)
   0.02000   -0.00003        NaN    0.00000
   0.04000    0.00001        NaN    0.00000
   0.06000    0.00003        NaN    0.00000
   0.08000    0.00009        NaN    0.00000
   0.10000    0.00011        NaN    0.00000
   0.12000    0.00007        NaN    0.00000
   0.14000   -0.00006        NaN    0.00000
   0.16000   -0.00009        NaN    0.00000
   0.18000   -0.00003        NaN    0.00000
   0.20000    0.00003        NaN    0.00000
   0.22000    0.00014        NaN    0.00000
   0.24000    0.00019        NaN    0.00000
   0.26000    0.00021        NaN    0.00000
   0.28000    0.00016        NaN    0.00000
   0.30000    0.00011        NaN    0.00000
   0.32000    0.00006        NaN    0.00000
   0.34000    0.00001        NaN    0.00000
   0.36000    0.00001        NaN    0.00000
   0.38000   -0.00003        NaN    0.00000
   0.40000   -0.00004        NaN    0.00000
   0.42000   -0.00004        NaN    0.00000
   0.44000   -0.00001        NaN    0.00000
   0.46000   -0.00001        NaN    0.00000
   0.48000    0.00000        NaN    0.00000
   0.50000   -0.00001        NaN    0.00000
   0.52000   -0.00006        NaN    0.00000
   0.54000   -0.00011        NaN    0.00000
   0.56000   -0.00017        NaN    0.00000
   0.58000   -0.00017        NaN    0.00000
   0.60000   -0.00019        NaN    0.00000
   0.62000   -0.00017        NaN    0.00000
   0.64000   -0.00006        NaN    0.00000
   0.66000   -0.00001        NaN    0.00000
   0.68000    0.00003        NaN    0.00000
   0.70000    0.00000        NaN    0.00000
   0.72000   -0.00001        NaN    0.00000
   0.74000   -0.00007        NaN    0.00000
   0.76000    0.00000        NaN    0.00000
   0.78000    0.00000        NaN    0.00000
   0.80000    0.00000        NaN    0.00000
   0.82000   -0.00001        NaN    0.00000
   0.84000    0.00004        NaN    0.00000
   0.86000    0.00003        NaN    0.00000
   0.88000    0.00000        NaN    0.00000
   0.90000   -0.00003        NaN    0.00000
   0.92000    0.00001        NaN    0.00000
   0.94000    0.00001        NaN    0.00000
   0.96000   -0.00001        NaN    0.00000
   0.98000    0.00000        NaN    0.00000
   1.00000    0.00001        NaN    0.00000
   1.02000   -0.00001        NaN    0.00000
   1.04000   -0.00001        NaN    0.00000
   1.06000   -0.00003        NaN    0.00000
   1.08000   -0.00004        NaN    0.00000
   1.10000   -0.00006        NaN    0.00000
   1.12000    0.00000        NaN    0.00000
   1.14000    0.00003        NaN    0.00000
   1.16000    0.00000        NaN    0.00000
   1.18000    0.00000        NaN    0.00000
   1.20000    0.00000        NaN    0.00000
   1.22000   -0.00001        NaN    0.00000
   1.24000    0.00000        NaN    0.00000
   1.26000    0.00009        NaN    0.00000
   1.28000    0.00007        NaN    0.00000
   1.30000   -0.00003        NaN    0.00000
   1.32000   -0.00003        NaN    0.00000
   1.34000   -0.00004        NaN    0.00000
   1.36000    0.00000        NaN    0.00000
   1.38000    0.00001        NaN    0.00000
   1.40000    0.00003        NaN    0.00000
   1.42000    0.00006        NaN    0.00000
   1.44000    0.00019        NaN    0.00000
   1.46000    0.00023        NaN    0.00000
   1.48000    0.00019        NaN    0.00000
   1.50000    0.00010        NaN    0.00000
   1.52000    0.00004        NaN    0.00000
   1.54000   -0.00003        NaN    0.00000
   1.56000   -0.00004        NaN    0.00000
   1.58000   -0.00009        NaN    0.00000
   1.60000   -0.00013        NaN    0.00000
   1.62000   -0.00021        NaN    0.00000
   1.64000   -0.00020        NaN    0.00000
   1.66000   -0.00016        NaN    0.00000
   1.68000   -0.00019        NaN    0.00000
   1.70000   -0.00017        NaN    0.00000
   1.72000   -0.00013        NaN    0.00000
   1.74000   -0.00003        NaN    0.00000
   1.76000   -0.00003        NaN    0.00000
   1.78000   -0.00004        NaN    0.00000
   1.80000    0.00001        NaN    0.00000
   1.82000    0.00016        NaN    0.00000
   1.84000    0.00020        NaN    0.00000
   1.86000    0.00017        NaN    0.00000
   1.88000    0.00016        NaN    0.00000
   1.90000    0.00013        NaN    0.00000
   1.92000    0.00011        NaN    0.00000
   1.94000    0.00011        NaN    0.00000
   1.96000    0.00010        NaN    0.00000
   1.98000    0.00007        NaN    0.00000
   2.00000   -0.00001        NaN    0.00000
   2.02000   -0.00004        NaN    0.00000
   2.04000   -0.00009        NaN    0.00000
   2.06000   -0.00014        NaN    0.00000
   2.08000   -0.00017        NaN    0.00000
   2.10000   -0.00006        NaN    0.00000
   2.12000    0.00009        NaN    0.00000
   2.14000    0.00016        NaN    0.00000
   2.16000    0.00017        NaN    0.00000
   2.18000    0.00019        NaN    0.00000
   2.20000    0.00014        NaN    0.00000
   2.22000    0.00006        NaN    0.00000
   2.24000   -0.00003        NaN    0.00000
   2.26000   -0.00003        NaN    0.00000
   2.28000    0.00000        NaN    0.00000
   2.30000    0.00001        NaN    0.00000
   2.32000    0.00000        NaN    0.00000
   2.34000   -0.00001        NaN    0.00000
   2.36000    0.00006        NaN    0.00000
   2.38000    0.00000        NaN    0.00000
   2.40000    0.00004        NaN    0.00000
   2.42000    0.00004        NaN    0.00000
   2.44000    0.00014        NaN    0.00000
   2.46000    0.00017        NaN    0.00000
   2.48000    0.00013        NaN    0.00000
   2.50000    0.00003        NaN    0.00000
   2.52000   -0.00007        NaN    0.00000
   2.54000   -0.00019        NaN    0.00000
   2.56000   -0.00013        NaN    0.00000
   2.58000   -0.00004        NaN    0.00000
   2.60000    0.00003        NaN    0.00000
   2.62000    0.00011        NaN    0.00000
   2.64000    0.00007        NaN    0.00000
   2.66000    0.00003        NaN    0.00000
   2.68000    0.00003        NaN    0.00000
   2.70000    0.00004        NaN    0.00000
   2.72000    0.00004        NaN    0.00000
   2.74000    0.00004        NaN    0.00000
   2.76000    0.00004        NaN    0.00000
   2.78000    0.00000        NaN    0.00000
   2.80000   -0.00003        NaN    0.00000
   2.82000    0.00006        NaN    0.00000
   2.84000    0.00006        NaN    0.00000
   2.86000   -0.00001        NaN    0.00000
   2.88000   -0.00004        NaN    0.00000
   2.90000   -0.00001        NaN    0.00000
   2.92000    0.00006        NaN    0.00000
   2.94000    0.00006        NaN    0.00000
   2.96000    0.00001        NaN    0.00000
   2.98000   -0.00001        NaN    0.00000
   3.00000   -0.00003        NaN    0.00000
   3.02000   -0.00010        NaN    0.00000
   3.04000   -0.00016        NaN    0.00000
   3.06000   -0.00014        NaN    0.00000
   3.08000   -0.00011        NaN    0.00000
   3.10000   -0.00006        NaN    0.00000
   3.12000    0.00003        NaN    0.00000
   3.14000    0.00006        NaN    0.00000
   3.16000    0.00006        NaN    0.00000
   3.18000    0.00000        NaN    0.00000
   3.20000    0.00004        NaN    0.00000
   3.22000    0.00007        NaN    0.00000
   3.24000    0.00016        NaN    0.00000
   3.26000    0.00024        NaN    0.00000
   3.28000    0.00017        NaN    0.00000
   3.30000    0.00010        NaN    0.00000
   3.32000    0.00006        NaN    0.00000
   3.34000    0.00003        NaN    0.00000
   3.36000    0.00000        NaN    0.00000
   3.38000   -0.00006        NaN    0.00000
   3.40000   -0.00007        NaN    0.00000
   3.42000   -0.00013        NaN    0.00000
   3.44000   -0.00010        NaN    0.00000
   3.46000   -0.00001        NaN    0.00000
   3.48000    0.00004        NaN    0.00000
   3.50000    0.00007        NaN    0.00000
   3.52000    0.00013        NaN    0.00000
   3.54000    0.00019        NaN    0.00000
   3.56000    0.00021        NaN    0.00000
   3.58000    0.00020        NaN    0.00000
   3.60000    0.00006        NaN    0.00000
   3.62000   -0.00011        NaN    0.00000
   3.64000   -0.00020        NaN    0.00000
   3.66000   -0.00014        NaN    0.00000
   3.68000   -0.00009        NaN    0.00000
   3.70000   -0.00000        NaN    0.00000
