llx,lly,urx,ury,min_elev_coarse_dem,max_elev_coarse_dem
152.666666666667,-26,153,-25.6666666666667,0,274
153,-26,153.333333333333,-25.6666666666667,-62,213
152.666666666667,-25.6666666666667,153,-25.3333333333333,0,194
153,-25.6666666666667,153.333333333333,-25.3333333333333,-55,194
152.333333333333,-25.3333333333333,152.666666666667,-25,-20,117
152.666666666667,-25.3333333333333,153,-25,-29,79
153,-25.3333333333333,153.333333333333,-25,-50,187
152,-25,152.333333333333,-24.6666666666667,-13,238
152.333333333333,-25,152.666666666667,-24.6666666666667,-29,77
152.666666666667,-25,153,-24.6666666666667,-51,-5
153,-25,153.333333333333,-24.6666666666667,-53,147
151.666666666667,-24.6666666666667,152,-24.3333333333333,-25,432
152,-24.6666666666667,152.333333333333,-24.3333333333333,-34,229
152.333333333333,-24.6666666666667,152.666666666667,-24.3333333333333,-35,8
152.666666666667,-24.6666666666667,153,-24.3333333333333,-60,-3
153,-24.6666666666667,153.333333333333,-24.3333333333333,-1137,83
151,-24.3333333333333,151.333333333333,-24,-4,898
151.333333333333,-24.3333333333333,151.666666666667,-24,-24,689
151.666666666667,-24.3333333333333,152,-24,-35,385
152,-24.3333333333333,152.333333333333,-24,-50,43
152.333333333333,-24.3333333333333,152.666666666667,-24,-257,-1
152.666666666667,-24.3333333333333,153,-24,-604,-1
150.666666666667,-24,151,-23.6666666666667,0,679
151,-24,151.333333333333,-23.6666666666667,-24,409
151.333333333333,-24,151.666666666667,-23.6666666666667,-40,155
151.666666666667,-24,152,-23.6666666666667,-47,108
152,-24,152.333333333333,-23.6666666666667,-279,2
152.333333333333,-24,152.666666666667,-23.6666666666667,-372,0
150.333333333333,-23.6666666666667,150.666666666667,-23.3333333333333,0,533
150.666666666667,-23.6666666666667,151,-23.3333333333333,-1,505
151,-23.6666666666667,151.333333333333,-23.3333333333333,-34,183
151.333333333333,-23.6666666666667,151.666666666667,-23.3333333333333,-40,52
151.666666666667,-23.6666666666667,152,-23.3333333333333,-59,2
152,-23.6666666666667,152.333333333333,-23.3333333333333,-312,2
150.666666666667,-23.3333333333333,151,-23,-32,505
151,-23.3333333333333,151.333333333333,-23,-44,63
151.333333333333,-23.3333333333333,151.666666666667,-23,-49,2
151.666666666667,-23.3333333333333,152,-23,-127,2
150.666666666667,-23,151,-22.6666666666667,-53,585
150.666666666667,-22.6666666666667,151,-22.3333333333333,-62,371
